FullDescription,SalaryLevel
registered nurse rmn rgn required nursing home northumberland day night position available eclypse recruitment proud offer opportunity join exceptional nursing home northumberland perfect candidate qualified rmn rgn experience passion working elderly delivering exceptional level care seeking nurse available commit night day per hour work within medium sized nursing home catering care elderly full part time position available chosen candidate joining fantastic care organisation highly regarded first class care delivered throughout home across england looking new nursing position feel skill experience required position please submit interest sending cv cfranceeclypserecruitment co uk job originally posted www totaljobs com jobseeking nursesnorthumberland job,low
place due increase business level xpress recruitment retained belhaven work number exciting tenancy opportunity throughout cumbria dumfries area belhaven scotland largest operator managed tenanted bar restaurant growing strength strength greeneking ownership belhaven built reputation providing market leading product world famous belhaven best opportunity missed role want bos part recognised established company could opportunity belhaven provide market leading support network training opportunity ensure every tenant successful tenant responsible managing operation controlling cost developing sale exploiting commercial opportunity within local community afield essence business make full support brand marketing operational knowledge belhaven every step way person looking speak party access initial capital outlay previously worked within customer service environment real commercial edge come managing business hospitality experience would preferred essential success within role reward unique opportunity change life interested would like move process forward would like information please send detail apply yljs nxpressrecruitment aptrack co call richard job originally posted www totaljobs com jobseeking pubmanagementopportunities job,low
introduction unique opportunity become available system analyst business system analyst revenue collection system experience join leading organisation based central london experience agile desirable salary negotiable pound k neg important revenue collection system system analyst agile vmodel transport rail job revenue system analyst provide efficient effective support business group legacy internally developed system functionality ensure internally developed system satisfy defined business requirement main duty include defining documenting functional non functional system requirement specification revenue collection contact system developed customer technology agile development team taking ownership defined business process system function component developing effective collaborative relationship key internal external stakeholder act product owner key system component per agile principle support functional integration user acceptance testing internally developed system knowledge skill amp experience required degree educated equivalent strong knowledge revenue collection apportionment system development implementation technique able understand agile amp vmodel methodology apply appropriately good knowledge customer facing house revenue collection infrastructure technology trend particularly public transport operation proven track record stakeholder engagement enthusing people maintaining trust supporting group ensure continued participation time broad experience analysing complex issue high volume transaction system broad experience managing full delivery lifecycle broad experience writing technique documenting functional non functional requirement proven experience collaborating development team acting authoritative source information technical team informing design development system process lifetime opportunity work critical complex system highly visible used people everyday collecting pound bn revenue every year join innovative globally recognised team leading way transit smart card ticketing development implementing contactless payment card acceptance work alongside talented passionate expert field fantastic learning development opportunity apply position candidate must eligible live work uk,low
category manager month contract may go permanent head office based berkshire buckinghamshire car benefit great opportunity join large household health wellness fmcg company european head office uk stable household name brand due significant increase demand insight category management team recruiting two category manager depending experience opportunity across grocery high street significant branded share brand well supported line convert marketing initiative measurable category action role looking individual work commercial sale marketing team customer facing role need develop maintain strong relationship drive growth brand well moving maintaining position category advisor graduate calibre fmcg background sale marketing category management coupled significant knowledge uk grocery sector highly commercial strong analytical skill ability probe analyse research information seeking high potential individual progress quickly organisation make difference passion succeed want hear interested exciting opportunity please send date copy cv stating current salary detail quoting s,high
test engineer testing software financial service full lifecycle manual analyst nr swindon fully expensed travel laptop smartphone full company benefit looking excellent opportunity extensive long term career progression organisation offering chance tester gain wealth experience integral part test function working new division company required carry potentially lead testing number large financial service banking insurance client across uk ideal person previous testing experience keen enhance knowledge testing financial service software flexibility travel needed however well rewarded excellent time join growing organisation requirement previous testing experience essential flexibility travel essential excellent communication skill acting employment agency job originally posted www cwjobs co uk jobseeking testengineer job,low
basingstoke based client looking number service desk agent join team month contract starting february primary function role take customer call handle according process performing task resolve fault answer query escalate ticket necessary responsibility answering customer telephone call timely professional manner logging customer call call logging system ensuring necessary detail accurately captured progress st line call keeping customer updated according commitment customer sla performing st line technical diagnostics fix confident knowledgeable manner remotely accessing equipment located customer site perform basic diagnostics check implementing dns web hosting url filtering ecc change escalating customer fault ticket technical support necessary logging progressing support ticket supplier needed resolve support issue monitoring customer support request submitted via email general knowledge router would advantage skill experience good written verbal communication skill professional confident telephone manner able demonstrate diplomacy understanding customer logical problemsolving approach essential able understand use call logging software telephone call queuing system operator level good knowledge necessary preferably serviceprovider based experience working helpdesk callcentre environment telco based blue arrow one uk largest recruitment business dedicated providing bespoke staffing solution network specialist branch onsite location year priority work partnership client candidate secure longterm relationship blue arrow provides extended range permanent temporary recruitment service variety public private sector client following area catering hospitality secretarial admin driving industrial manufacturing distribution warehousing job originally posted www totaljobs com jobseeking servicedeskagent job,low
technical sale engineer electromechanical birmingham leading salary pension company car car allowance progression sale engineer strong understanding selling engineering service contract looking work uk largest engineering company structured development program clear route progression opportunity build technical understanding salary package grows reward success within company brand autonomous quality efficiency organisation industry leader engineering service offering engineering support service repair largest engineering company uk worldwide looking develop relatively untapped area want motivated sale engineer take region establish within position offer long term career prospect excellent progression opportunity chance climb ladder quickly develop team within region job stability continued support development role sale engineering support service manufacturing machining industry development new client new industry business person technical background mechanical maintenance manufacture machine tool similar motivated assertive client good communication application alternatively call apply online interested position relevant experience please send cv visit website url removed,low
job element job holder required work supplier new equipment utility role integral part new manufacturing facility startup team role initially report new facility startup manager transfer manufacturing operation validation complete routine production role form part small high value development operation job holder required lead direct mechanical related activity job holder also required provide technical input associated documentation fat validation revalidation activity job holder required technical lead critical utility role also involve technical lead critical equipment small large scale process ideal candidate experience working highly regulated industry educated degree level timeserved suitable experience mechanical discipline experience working automated equipment ideally experience working system experience machine installation commissioning trouble shooting job originally posted www totaljobs com jobseeking mechanicalengineerspharmaceuticalmanufacturing job,low
swanstaff recruitment ltd seeking rgn fulltime permanent position ipswich area client looking registered nurse join devoted team comprising rgn hca residential setting caring nature passion providing best quality care service user swanstaff would love hear outline duty ensure care welfare safety resident nursing home highest possible standard promote maintain good interpersonal relationship staff resident staff relative responsible administration new resident home including assessment evaluation establishment good mutual friendship completing relevant documentation identify introduce named nurse key worker responsible administration recording safe storage prescribed medication line company procedure local authority guideline conduct caring nursing duty required line company local authority guideline urgent position require candidate commence employment soon possible query regarding position please contact zoey jenkins,low
purpose role contribute company competitive edge providing design service customer new existing product accordance company standard procedure b contribute commercial success value engineering offering excellent solution customer need position company organizational structure part design service team reporting design service manager replacement case absence coworker manager main task design drainage scheme b prioritise task based commercial factor c implement value engineering concept way working implement automation possible increase efficiency e liaise sale force sale office essential product knowledge preliminary design f progress report g preparing design proposal complex project introducing new product h work cross functional team product process innovation additional task establish way working sale office maximize effectiveness efficiency b input literature marketing c part commercial launch team new product site visit problem solving e provide input training programme explanation new product team sale force f presentation demonstration sale team customer authority responsibility authority none responsibility accurate timely drainage design customer communication external customer architect engineer merchant builder etc internal awm sale awm sale office product development company academy education necessary job current employee civil engineering experience knowledge installation drainage construction industry ability read produce technical drawing autocad pdf exchange knowledge understanding construction industry tender process buying decision installation product b experience working construction industry c good numeracy skill ability learn hydraulic design method personal skill behaviour completer finisher b driver action c critical quality standard commercial acumen e technically astute f good communicator g attention detail role limited reason practicality exclude task mentioned limit holder role perform task requested interest company working hour hour per week based pm monday thursday pm friday one hour lunch flexibility required e g start time closing date application wednesday th january mj recruitment solution regret successful applicant matching criterion job role responded,low
company robert half technology seeking senior development manager leading international derivative commodity energy house city london significant rewrite marketleading realtime trading matching platform emea utilise platform international growth emea apac exciting opportunity development manager work across otc exchange traded asset class including credit derivative fixed income commodity front back office offering different approach traditional siloed banking organisation moreover significant opportunity development manager make impact flat meritocratic structure instrumental successful redesign rewrite platform visibility highest level organisation globally role client seeking talented development manager lead development organisation market leading realtime trading matching platform firm seek experienced professional prior expertise working closeknit onshore development team within derivative commodity energy trading space capable driving forward development system ideal candidate managed directly team highly skilled c developer parallel environment creation enhancement similar system opportunity encompass system development activity offer successful development manager architect high degree autonomy achieved main purpose position ensure system high quality e well designed meticulously coded thoroughly tested clearly documented development manager expected take critical role oversight system architecture going forward ultimate responsibility identification justification new initiative enhancement increase organisation competitive advantage main responsibility deliverable role include providing clear guidance programming standard development methodology developer qa testing resource team currently total expectation growing near term development manager take overall responsibility ensuring system including database architected well structured efficient robust also expected ensure development qa staff given sufficient support encouragement enable excel develop professionally development manager required communicate regularly senior stakeholder senior user management multiple geography appropriate third party ensure uptodate knowledge business technical development successful applicant need competent producing accurate estimate required effort start finish time proposed development testing ensuring timeline adhered role require development manager provide regular report progress potential problem senior management development manager maintain good level handson skill specifically capable management team highly skilled developer well developed leadership skill capable coaching mentoring team difficult area code architectural decision technology used team include realtime multithreaded development c net winforms sql server successful development manager need prove expertise major objectoriented programming language c java c well working layered software architecture ood design pattern data structure organisation increasingly moving agile experience full life development methodology helpful term business knowledge development manager architect must deep knowledge many following possible otc derivative exchange traded derivative commodity energy trading salary benefit bonus stock award pension benefit robert half ltd act employment business temporary position employment agency permanent position robert half committed equal opportunity diversity suitable candidate equivalent qualification le experience apply job originally posted www totaljobs com jobseeking seniordevelopmentmanagerinvestmentbankingrealtime job,high
introduction leading f company based oxford require cnc pattern maker join team contract basis important previous pattern making experience job role programme set operate axis machine centre make pattern carbon fibre composite candidate must previous experience field order considered role previous experience fanuc control would also advantageous pound pound per hour shift available apply position candidate must eligible live work uk,low
eden scott client leading oil service company based outside aberdeen part larger global group key mover within sector due offer first class career development prospect opportunity due recent promotion client looking hire experienced finance manager duty compilation monthly management account associated report accordance agreed timescales manage company payroll pension insurance company vehicle provide internal external company department financial information including budget performance departmental expenditure audit report government return etc contribute development comply ensure adherence company rule regulation safety quality management system control overhead line agreed budget provide strategic support management account business establish maintain effective financial control within business lead implementation sap system provide management control support function meet business requirement provide financial awareness training staff play active supportive role within management team provide strategic input compilation annual capital expenditure budget provide support overhead budget holder assist optimisation cost wherever possible requirement fully qualified acca cima icas essential experience working finance manager level within oil service sector essential first class communication interpersonal skill desire succeed essential career focused driven motivated truly represents excellent opportunity join leading oil gas service company confidential discussion please apply cv,high
world leading pr agency seeking account manager join successful london based medical education team account manager work across interesting range medical education programme agency prestigious pharmaceutical client new account manager also support lead team ensuring successful project completion apply must significant experience working medical communication agency well real understanding pharmaceutical industry also science degree coupled exceptional communication writing skill new account manager work closely team develop effective high impact communication programme consistently aiming meet client expectation make job really know client business innovative programme produce result developed key quality agency seeking include good degree biological science related discipline excellent detailed knowledge healthcare sector pharma market experience working client servicing project management environment proficiency microsoft office including word excel outlook powerpoint willingness travel internationally agency need handson teamplayer real ability build maintain positive relationship client kols must medical communication agency experience well excellent communication skill exciting opportunity really develop career want new challenge new client new opportunity apply similar vacancy please contact gary hoult email garyfreshconnect co uk account manager junior account manager senior account executive senior account manager medical education med ed medical communication medical communication agency med comms scientific communication healthcare communication pharmaceutical london account manager junior account manager senior account executive senior account manager medical education med ed medical communication medical communication agency med comms scientific communication healthcare communication pharmaceutical london job originally posted www totaljobs com jobseeking accountmanagermedicaleducation job,low
guidance officer work programme c ompany boltonwise looking recruit guidance officer assist delivering work programme within bolton office role main purpose job develop promote provide range guidance support service job seeker work programme work employer partner organisation prepare support job seeker sustainable employment need ability support delivery welfare work programme meet exceed contractual performance requirement experience must proven experience working supporting job seeker employment one one group basis expected work strict target work within work programme guideline time good skill excellent communication ability work team environment ability work pressure calm professional time hour work hr week monday friday apply please forward cv danielgrahovacboltonwise co uk follow link job originally posted www totaljobs com jobseeking guidanceofficerworkprogramme job,low
financial accountant bedfordshire client market leading service group based bedfordshire highly profitable continues grow acquisition due continued growth seeking recruit new financial accountant highly professional ambitious team role encompass number key responsibility including financial accounting management accounting key analysis role provide wide variety responsibility including working closely nonfinance stakeholder interested applicant able demonstrate experience following area monthly financial management account preparation group financial management reporting ifrs preparing board pack preparing group budget forecast completing year end statutory account liaising auditor highly involved influencing key decision within group ideal individual qualified accountant strong academic track record driven enthusiastic particularly interested working growing million turnover organisation excellent opportunity providing encumbered broad reaching exposure highly reputable environment agy vitae financial recruitment exist different membership registration job originally posted www totaljobs com jobseeking financialaccountant job,high
role operation director salary k car bonus location south west compass associate currently working exclusively national healthcare provider seek appoint hand top performing operator service south west berk wilt avon gloucs ideal candidate operational background overseeing budget million must multisite experience preferably managing excess unit also important candidate previously worked within elderly healthcare arena well versed practice current event nursing qualification although desirable essential post due nature job essential candidate full clean uk driving licence prepared travel extensively within region interested vacancy would like information please email cv call lily parke apply online,high
deputy store manager permanent gbp per annum job role deputising store manager assisting managing whole store effectively work towards structured twelve month training programme become store manager lead team staff environment quality service able plan prioritize drive tangible result contribute towards professional success key responsibility managing coaching developing team diverse individual recruitment induction necessary follow company staff disciplinary procedure ensure staff multiskilled tasked complete wide range duty within store ensure staff knowledge product service within whole store assist management team managing performance self others within agreed limit including setting performance standard efficient use team around complete yearly appraisal staff within agreed time limit manage business maintained viewed best class maximising sale every opportunity maintaining extremely high standard understand customer anticipating need setting best class standard service ensuring staffing level adequate meet customer expectation whole store identify business lever proactively assist area manager keep track competition business respond change manage stock availability waste driving customer service standard achieve sale exceed customer satisfaction target identifying potential managing staff development supporting staff achieve potential ideal candidate genuine passion service excellence strong leadership coaching skill communication influencing skill experience inventory management stock control acute commercial financial acumen proven experience managing medium sized diverse team hospitality leisure retail environment ability lead work proactively within team high degree customer focus responsiveness client client leading blue chip retail company passionate dedicated providing customer highest quality service client aspires truly great company set benchmark company judged want fantastic opportunity prove progress unit manager company need apply truly market leader field passionate people built success commitment people motivation role handled mccarthy recruitment award winning specialist retail recruitment consultancy covering whole uk mccarthy like recruitment agency worked difference commitment providing professional personalized recruitment service highest quality apply role find u online web n facebook n mccarthyrecruitment twitter n ukretailcareers linkedin n company mccarthyrecruitment,low
shipping coordinator pharmaceutical surrey k ben due expansion opportunity shipping coordinator global pharmaceutical company based surrey company seeking candidate previous work experience pharmaceutical similarly highly regulated industry broad function main responsibility coordinate import export transportation requirement customer order approved courier ensuring quality financial ehs regulatory condition adhered role include preparation customer order preparing shipment documentation ensuring delivery accordance communicated plan manage import export activity product including occasionally qc development sample approved shipping agent including correct labelling packing stock movement temperature monitoring reconciliation shipping documentation company seeking candidate previous experience shipping distribution role ideally within pharmaceutical environment gmp based previous experience import export procedure custom requirement required fork lift truck license would desirable excellent opportunity join thriving pharmaceutical firm excellent benefit package job originally posted www totaljobs com jobseeking shippingcoordinatorpharmaceuticalssurreyto kbens job,low
flash actionscript creative developer bolton lancashire fantastic opportunity actually see work go live get creative juice flowing strong flash developer flair design creativity want work leading digital medium company apply today client requires creative lead help client deliver best creative content working closely creative agency assisting delivering great digital ad role requires strong proactive individual creative flair attention detail experienced flash developer capable producing engaging dynamic advertising strong emphasis data driven content delivering time paramount therefore excellent time management communication skill must creative technical experience essential exceptional portfolio demonstrates creative technical skill excellent working knowledge flash actionscript motion graphic ability work external data source e g xml json php understanding experience optimisation technique required ensure flash work equally well low end high end hardware adapt repurpose create content platform artwork print tv confidence make recommendation client agency present idea face face necessary ideal candidate come advertising agency background must able create advert using flash dynamic creative flash developer apply today genuine permanent opportunity role commutable bolton chorley rochdale wigan salford manchester bury job originally posted www cwjobs co uk jobseeking flashcreativewebdeveloperboltonlancashire job,low
duration permanent description currently recruiting behalf national charity team coordinator community care manage delivery service islington london team coordinator responsible recruiting managing team support worker ongoing development personalised community support across islington tower hamlet strong manager effectively lead develop team whilst ensuring excellent service delivery provided time addition previous knowledge experience working child adult physical disability return receive basic salary plus range additional benefit apply vacancy please contact chris email copy current cv cosbonmedicorglobal com benefit benefit,low
abpm expert financial recruitment retained readily recognisable manufacturing client search selection operationally focused finance professional support regional director site across southern region client touch many life daily business joining group real enthusiasm exceed customer expectation exciting opportunity step influential role provide successful candidate ability take functional lead region business unit ensure financial result achieved bringing insight challenge finance general manager role need focus short term outcome particularly influenced cost control equally business consistent regard year outlook strong strategic perspective required delivery role ideal candidate graduate qualified accountant background manufacturing sector experience multisite sap environment would advantageous demonstrable expertise financial reporting business analysis proven strength communication financial information relationship building across diverse profile colleague prerequisite role enjoys strong reward package career potential equally demanding role travel across various site give diversity variety first round interview held locally cv covering letter sent retained advisor rej abraham director abpm recruitment ltd quoting reference ra,high
